sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,house_type_id,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,District_code
53.0,3,1,3,601,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
68.0,3,1,2,485,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
75.0,3,1,5,583,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
83.0,2,1,1,728,1,False,False,True,True,True,False,False,True,True,True,True,False,False,21
95.0,3,1,10,592,1,False,False,False,False,False,False,False,True,False,True,False,False,False,21
30.0,1,1,10,342,1,False,False,False,False,True,False,False,False,False,False,True,True,False,21
53.0,1,1,6,728,1,False,False,True,True,True,False,True,True,False,True,False,False,True,21
125.0,3,3,7,1135,3,False,False,False,True,True,False,True,True,False,True,False,True,False,21
153.0,4,2,1,844,1,False,True,True,True,True,False,False,False,False,True,True,True,True,21
66.0,2,1,2,521,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
63.0,3,1,4,456,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
59.0,2,1,11,654,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
95.0,3,1,10,913,1,False,False,True,False,True,False,True,False,False,True,False,True,True,21
65.0,2,1,2,1015,1,False,False,False,True,True,False,False,False,False,True,False,False,True,21
69.0,2,1,1,1038,1,False,False,False,True,True,False,True,False,False,False,False,False,False,21
115.0,4,2,11,1275,1,False,False,False,True,False,False,False,False,False,True,False,True,False,21
60.0,3,1,3,625,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
90.0,3,2,4,823,1,False,True,True,True,True,False,False,False,False,True,False,True,True,21
60.0,3,1,2,458,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
65.0,2,1,10,579,1,False,False,False,True,True,False,False,False,False,False,True,False,False,21
115.0,4,1,1,678,1,False,False,False,True,True,False,False,True,False,True,False,True,False,21
83.0,3,2,1,587,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
55.0,2,1,2,583,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
80.0,2,2,1,851,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
68.0,3,1,1,766,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
89.0,2,2,1,1003,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
61.0,3,1,4,489,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
67.0,3,1,3,621,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
68.0,3,1,2,512,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
92.0,3,2,4,833,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
70.0,3,1,2,494,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
63.0,3,1,1,805,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
57.0,3,1,5,521,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
63.0,3,1,3,466,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
52.0,2,1,4,544,1,False,True,False,False,False,False,False,False,False,False,False,False,False,21
125.0,3,2,1,948,1,False,False,True,True,True,False,False,False,False,True,True,True,True,21
125.0,3,3,1,1135,2,False,True,False,True,False,False,True,True,False,True,False,False,False,21
75.0,3,1,2,672,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
71.0,3,1,11,672,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
80.0,3,1,1,517,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
66.0,3,1,1,508,1,False,True,False,False,True,False,False,True,True,False,False,False,False,21
95.0,2,2,10,760,1,False,False,False,True,False,False,False,True,False,False,False,False,False,21
61.0,3,1,4,539,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
42.0,4,1,10,521,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
85.0,3,1,1,762,1,False,True,False,False,True,False,False,True,False,False,False,False,True,21
80.0,2,1,3,604,1,False,False,True,True,True,False,False,True,False,True,False,True,False,21
55.0,2,1,3,521,1,False,False,True,False,True,False,False,True,False,False,False,False,False,21
60.0,2,1,3,517,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
55.0,3,1,1,437,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
93.0,3,1,10,660,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
55.0,2,1,10,517,1,False,False,True,False,True,False,False,False,False,False,False,False,False,21
82.0,3,1,3,465,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
53.0,2,1,1,521,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
69.0,2,1,10,619,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
58.0,2,1,1,617,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
70.0,2,1,1,923,1,False,False,False,True,True,False,False,True,False,True,False,False,False,21
47.0,1,1,3,721,1,False,False,False,True,False,False,False,True,False,True,False,False,False,21
64.0,2,1,1,535,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
50.0,2,1,3,561,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
103.0,3,2,7,1108,2,False,True,True,True,True,False,True,True,False,False,False,True,True,21
90.0,3,2,1,1174,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
66.0,2,1,3,494,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
70.0,2,1,10,423,1,False,True,True,False,True,False,False,False,True,False,False,False,False,21
60.0,2,1,2,646,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
101.0,2,2,6,1081,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
