title,sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,Neighborhood_code,Neighborhood_name,District_code,District_name
Piso en venta en calle de Puentedeume,52.0,2,1,4,868,185000,Pisos,False,False,True,True,True,True,False,False,False,False,False,False,False,en trámite,False,54, Pilar,8, Fuencarral
" Chalet pareado en venta en calle Mario Recuero, 25",315.0,4,3,Otro,2512,993000,Casa o chalet,False,True,False,True,False,False,True,True,True,False,True,False,False,no indicado,True,53, Peñagrande,8, Fuencarral
" Chalet pareado en venta en calle Mario Recuero, 25",312.0,4,3,Otro,2517,970000,Casa o chalet,False,True,False,True,False,False,True,True,True,False,True,False,False,no indicado,True,53, Peñagrande,8, Fuencarral
 Chalet adosado en venta en Mirasierra,300.0,6,5,Otro,2478,1035000,Casa o chalet,False,False,True,True,False,False,False,False,True,True,True,False,False,D,True,56, Mirasierra,8, Fuencarral
Piso en venta en calle de la Villa de Marín,130.0,3,2,6,1485,420000,Pisos,False,False,False,True,True,True,False,False,True,False,True,False,True,en trámite,True,50, La Paz,8, Fuencarral
Piso en venta en calle de Ribadavia,115.0,3,2,4,1275,330000,Pisos,False,False,False,True,True,True,False,False,True,False,True,False,False,en trámite,True,54, Pilar,8, Fuencarral
"Dúplex en venta en calle Sandalio López, 50",94.0,2,2,4,1393,379907,Dúplex,False,False,False,True,True,True,False,False,True,True,True,False,False,A,True,55, Tres Olivos,8, Fuencarral
Piso en venta en Peñagrande,177.0,3,3,3,2203,735000,Pisos,False,False,True,True,True,True,False,True,True,False,True,False,True,en trámite,True,53, Peñagrande,8, Fuencarral
Piso en venta en calle Villa de Marin,183.0,4,2,8,1989,640000,Pisos,False,False,False,True,True,True,False,False,True,False,True,False,True,E,True,50, La Paz,8, Fuencarral
Piso en venta en calle Julio Palacios,260.0,4,3,3,2489,910000,Pisos,False,False,True,True,True,True,False,True,True,False,True,False,True,en trámite,True,50, La Paz,8, Fuencarral
Piso en venta en Pilar,50.0,2,1,Otro,740,149000,Pisos,False,False,False,False,True,False,False,False,False,False,False,False,False,D,False,54, Pilar,8, Fuencarral
 Chalet adosado en venta en Peñagrande,483.0,6,5,Otro,1059,1300000,Casa o chalet,True,False,True,True,False,False,True,True,True,True,True,False,False,en trámite,True,53, Peñagrande,8, Fuencarral
