sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,house_type_id,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,District_code
80.0,3,1,3,163000,1,False,True,True,True,True,False,False,False,False,True,False,False,False,21
95.0,3,1,2,185000,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
56.0,3,1,5,80000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
43.0,1,1,10,84000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
72.0,3,1,3,119900,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
100.0,4,2,1,154900,1,False,False,False,True,True,False,False,False,False,True,False,False,False,21
70.0,3,1,4,119900,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
60.0,2,1,10,79900,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
60.0,2,1,2,79900,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
91.0,3,2,3,129900,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
74.0,3,1,2,99900,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
110.0,3,2,5,275000,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
83.0,3,1,3,91500,1,False,False,False,False,True,False,False,True,True,False,False,False,False,21
65.0,2,1,11,86860,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
58.0,3,1,3,105000,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
115.0,3,2,6,216000,1,False,True,False,True,True,False,True,False,False,False,False,False,True,21
82.0,3,1,4,120000,1,False,True,True,False,True,False,False,False,True,False,False,False,False,21
83.0,3,1,10,135000,1,False,False,True,True,True,False,False,False,False,False,False,False,False,21
90.0,2,1,10,212000,1,False,True,True,True,True,False,True,False,False,True,False,True,False,21
95.0,2,2,5,184000,1,False,False,True,True,True,False,False,False,False,True,True,False,False,21
89.0,3,1,10,160000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
178.0,4,2,5,299990,1,False,True,True,True,True,False,True,False,True,True,True,True,True,21
59.0,2,1,2,117000,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
100.0,4,1,10,165000,1,False,False,False,True,True,False,False,False,False,False,True,False,False,21
68.0,3,1,4,95000,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
50.0,2,1,2,106000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
114.0,4,2,2,229000,1,False,True,True,True,True,False,False,True,False,False,True,False,False,21
81.0,3,2,3,155000,1,False,True,True,True,True,False,False,False,False,True,True,True,True,21
91.0,2,2,5,228208,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
95.0,3,1,3,100000,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
80.0,3,1,10,140000,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
60.0,2,1,3,105000,1,False,False,False,False,False,False,False,True,False,False,False,False,False,21
80.0,3,1,3,165000,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
60.0,2,1,5,73000,1,False,True,False,True,True,False,False,False,False,False,False,False,False,21
50.0,1,1,6,159000,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
136.0,3,1,1,135990,1,False,False,False,False,True,False,False,True,True,True,False,False,False,21
96.0,2,2,7,210000,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
71.0,2,2,2,198000,1,False,True,True,True,True,False,True,False,False,True,True,False,False,21
74.0,2,1,1,139900,1,False,False,True,False,True,False,False,False,False,False,False,False,False,21
65.0,2,1,2,110000,1,False,False,True,False,True,False,False,False,False,False,False,False,False,21
93.0,3,1,9,160000,1,False,True,True,True,True,False,False,True,False,False,False,False,False,21
75.0,3,1,2,103000,1,False,False,True,False,True,False,False,True,False,False,False,False,False,21
63.0,3,1,11,100000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
65.0,3,1,4,90000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
115.0,3,1,1,154900,2,False,False,True,False,True,False,False,True,False,True,False,False,False,21
63.0,2,1,2,82260,1,False,False,False,True,True,False,False,False,False,False,True,False,False,21
72.0,3,1,6,139400,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
100.0,2,2,10,154900,1,False,True,True,True,True,False,False,False,False,True,True,True,True,21
90.0,3,2,3,155000,1,False,True,True,True,True,False,False,True,False,True,False,True,True,21
66.0,3,1,2,88000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
102.0,3,2,5,225000,1,False,True,False,True,True,False,False,True,False,False,True,False,False,21
105.0,2,1,6,189000,1,False,True,True,True,True,False,False,True,False,False,True,False,True,21
95.0,4,1,4,138000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
120.0,3,1,2,195000,1,False,False,False,True,True,False,False,False,False,False,False,False,False,21
90.0,3,2,4,222000,1,False,True,True,True,True,False,True,False,False,True,True,False,True,21
